nm,exPts,exVar,wk
A'Shawn Robinson,0,1.36157048222379e-18,17
A.J. Bouye,0,1.36157048222379e-18,17
A.J. Brown,27.5237417140776,1.34150638827653,17
A.J. Klein,0,1.36157048222379e-18,17
A.J. Moore Jr. IR,0,1.36157048222379e-18,17
Aaron Brewer,0,1.36157048222379e-18,17
Aaron Colvin,0,1.36157048222379e-18,17
Aaron Donald,0,1.36157048222379e-18,17
Aaron Jones,48.9317007697768,1.89122137895204,17
Aaron Lynch,0,1.36157048222379e-18,17
Aaron Rodgers,16.5486937306073,0.0581308276054252,17
Abry Jones IR,0,1.36157048222379e-18,17
Adam Butler,0,1.36157048222379e-18,17
Adam Gotsis,0,1.36157048222379e-18,17
Adam Humphries O,0,1.36712208276714,17
Adam Shaheen,0.671428132126949,0.229369783454375,17
Adam Thielen,12.1749656219865,0.473228809019435,17
Adam Vinatieri,0,1.75054712334217,17
Adoree' Jackson IR,0,1.36157048222379e-18,17
Adrian Amos,0,1.36157048222379e-18,17
Adrian Clayborn,0,1.36157048222379e-18,17
Adrian Peterson,20.504680289594,1.72295950118708,17
Adrian Phillips,0,1.36157048222379e-18,17
Ahkello Witherspoon,0,1.36157048222379e-18,17
Akiem Hicks,0,1.36157048222379e-18,17
Al Woods,0,1.36157048222379e-18,17
Al-Quadin Muhammad,0,1.36157048222379e-18,17
Albert Wilson,15.8109887552171,2.20719549258295,17
Aldrick Rosas,5.93131540495456,0.586868301246416,17
Alec Ingold Q,0.278021440982954,0.343826306781589,17
Alec Ogletree,0,1.36157048222379e-18,17
Alex Anzalone,0,1.36157048222379e-18,17
Alex Armah,0,1.05209091494287,17
Alex Erickson,10.8854240340746,0.693888082424696,17
Alex Okafor IR,0,1.36157048222379e-18,17
Alex Tanney,0.0200000000005764,1.75000000005756,17
Alexander Johnson,0,1.36157048222379e-18,17
Alexander Mattison,0.413176856303807,0.95717915312129,17
Allen Bailey,0,1.36157048222379e-18,17
Allen Hurns,0.435435187916877,1.18818159382914,17
Allen Lazard IR,7.7261224360335,0.334611675260177,17
Allen Robinson II,16.8539882409934,0.153103140852653,17
Alshon Jeffery Q,0,1.05274707466945,17
Alvin Kamara,28.5078488208491,1.34928242812144,17
Amari Cooper,3.83243291069902,0.905141241370679,17
Ameer Abdullah,11.9269259092928,2.8496718820078,17
Andre Patton,5.36758287433746,3.27462547667414,17
Andre Roberts,0.884340721096495,0.7843676420791,17
Andrew Beck IR,3.40950528347642,1.72812191810063,17
Andrew Billings,0,1.36157048222379e-18,17
Andrew Sendejo,0,1.36157048222379e-18,17
Andrew Wingard IR,0,1.36157048222379e-18,17
Andy Dalton,42.7020455240001,2.62820063108858,17
Andy Isabella,0,1.49720324092033,17
Andy Janovich,0,1.38955027011617,17
Angelo Blackson,0,1.36157048222379e-18,17
Anthony Averett IR,0,1.36157048222379e-18,17
Anthony Barr IR,0,1.36157048222379e-18,17
Anthony Brown,0,1.36157048222379e-18,17
Anthony Firkser,0,1.22286635790917,17
Anthony Harris,0,1.36157048222379e-18,17
Anthony Hitchens,0,1.36157048222379e-18,17
Anthony Levine Sr.,0,1.25000118066668,17
Anthony Miller,11.4005043999868,0.337355216800238,17
